,Job Title,Salary Estimate,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue,hourly,Employer_provided,min_salary,max_salary,avg_salary,company_txt,job_state,age
74,Data Science Analyst - Platform - Remote,Employer Provided Salary:$95K - $134K,3.9,"Mayo Clinic
3.9","Rochester, MN",10000+ Employees,-1,Nonprofit Organization,Health Care Services & Hospitals,Healthcare,$10+ billion (USD),0,1,95.0,134.0,114.5,"Mayo Clinic
", MN,-1
75,Technical Associate I/Data Scientist,$85K - $122K (Glassdoor est.),4.3,"MIT
4.3","Cambridge, MA",10000+ Employees,1861,College / University,Colleges & Universities,Education,$1 to $5 billion (USD),0,0,85.0,122.0,103.5,"MIT
", MA,162
76,Humanities Data Scientist,Employer Provided Salary:$112K - $172K,3.5,"US National Endowment for the Humanities
3.5","Washington, DC",1 to 50 Employees,-1,Nonprofit Organization,Grantmaking & Charitable Foundations,Nonprofit & NGO,$1 to $5 million (USD),0,1,112.0,172.0,142.0,"US National Endowment for the Humanities
", DC,-1
77,Data Scientist I - Energy Applications,Employer Provided Salary:$136K,4.0,"Pacific Northwest National Laboratory
4.0",United States,5001 to 10000 Employees,1965,Company - Private,Energy & Utilities,"Energy, Mining & Utilities",$1 to $5 billion (USD),0,1,136.0,136.0,136.0,"Pacific Northwest National Laboratory
",remote,58
78,Sr. Data Scientist,Employer Provided Salary:$93K - $147K,3.6,"TARGET
3.6","Minneapolis, MN",10000+ Employees,1962,Company - Public,General Merchandise & Superstores,Retail & Wholesale,$10+ billion (USD),0,1,93.0,147.0,120.0,"TARGET
", MN,61
79,Data Scientist,$90K - $124K (Glassdoor est.),4.2,"Yale University
4.2","New Haven, CT",10000+ Employees,1701,Nonprofit Organization,Colleges & Universities,Education,$1 to $5 billion (USD),0,0,90.0,124.0,107.0,"Yale University
", CT,322
80,Data Scientist (Junior),$77K - $127K (Glassdoor est.),4.0,"KBR
4.0","Jacksonville, FL",10000+ Employees,1901,Company - Public,Aerospace & Defense,Aerospace & Defense,$5 to $10 billion (USD),0,0,77.0,127.0,102.0,"KBR
", FL,122
81,Part-Time Data Scientist,Employer Provided Salary:$28.52 Per Hour,4.2,"ORAU
4.2","Research Triangle Park, NC",501 to 1000 Employees,1946,Nonprofit Organization,Grantmaking & Charitable Foundations,Nonprofit & NGO,$25 to $100 million (USD),1,1,28.52,28.52,28.52,"ORAU
", NC,77
82,Part-time Data Analyst,Employer Provided Salary:$40.00 - $42.00 Per Hour,4.1,"Advocates for Human Potential, Inc.
4.1",Remote,1 to 50 Employees,-1,Company - Private,Business Consulting,Management & Consulting,$5 to $25 million (USD),1,1,40.0,42.0,41.0,"Advocates for Human Potential, Inc.
",remote,-1
83,Sr Data Instrumentation Scientist,Employer Provided Salary:$136K - $182K,3.9,"Disney
3.9","Santa Monica, CA",10000+ Employees,1923,Company - Public,Film Production,Media & Communication,$10+ billion (USD),0,1,136.0,182.0,159.0,"Disney
", CA,100
84,Sr Data Scientist,$113K - $156K (Glassdoor est.),3.7,"Citizens
3.7","Boston, MA",10000+ Employees,1828,Company - Public,Banking & Lending,Financial Services,$5 to $10 billion (USD),0,0,113.0,156.0,134.5,"Citizens
", MA,195
85,Junior Data Scientist,Employer Provided Salary:$112K - $179K,3.6,"Peraton
3.6","Columbia, MD",10000+ Employees,2017,Company - Private,Information Technology Support Services,Information Technology,$5 to $10 billion (USD),0,1,112.0,179.0,145.5,"Peraton
", MD,6
86,Data Scientist (All Levels),Employer Provided Salary:$84K - $147K,4.4,"Noblis
4.4","Reston, VA",1001 to 5000 Employees,1996,Nonprofit Organization,Business Consulting,Management & Consulting,$100 to $500 million (USD),0,1,84.0,147.0,115.5,"Noblis
", VA,27
87,Data Scientist Advisor,$91K - $126K (Glassdoor est.),4.0,"FedEx Services
4.0","Collierville, TN",10000+ Employees,2000,Company - Public,Taxi & Car Services,Transportation & Logistics,$1 to $5 million (USD),0,0,91.0,126.0,108.5,"FedEx Services
", TN,23
88,Sr Data Scientist,$115K - $163K (Glassdoor est.),4.7,"Voloridge Investment Management
4.7","Jupiter, FL",51 to 200 Employees,2009,Company - Private,Investment & Asset Management,Financial Services,Unknown / Non-Applicable,0,0,115.0,163.0,139.0,"Voloridge Investment Management
", FL,14
89,Data Scientist I/II (Lending Analytics & Credit Risk),$124K - $181K (Glassdoor est.),4.1,"Navy Federal Credit Union
4.1","Vienna, VA",10000+ Employees,1933,Self-employed,Banking & Lending,Financial Services,Unknown / Non-Applicable,0,0,124.0,181.0,152.5,"Navy Federal Credit Union
", VA,90
90,Data Scientist,$84K - $123K (Glassdoor est.),3.8,"Henry Ford Health
3.8","Southfield, MI",10000+ Employees,1915,Nonprofit Organization,Health Care Services & Hospitals,Healthcare,$5 to $10 billion (USD),0,0,84.0,123.0,103.5,"Henry Ford Health
", MI,108
91,Data Scientist,$84K - $123K (Glassdoor est.),3.8,"Henry Ford Health
3.8","Southfield, MI",10000+ Employees,1915,Nonprofit Organization,Health Care Services & Hospitals,Healthcare,$5 to $10 billion (USD),0,0,84.0,123.0,103.5,"Henry Ford Health
", MI,108
92,Associate Data Scientist,$82K - $108K (Glassdoor est.),3.2,"WALGREENS
3.2","Deerfield, IL",10000+ Employees,1901,Company - Public,Drug & Health Stores,Retail & Wholesale,$10+ billion (USD),0,0,82.0,108.0,95.0,"WALGREENS
", IL,122
